subparam,unit1,value1,unit2,value2,modelname,modelid,specifications.topparam
Note (3),,"***Manual quick coupler, precleaner hood.",,"***Manual quick coupler, precleaner hood.",903D,113317,Operating Specifications - Standard Lift
Note (4),,"Operating specifications shown are based on machine equipped with enclosed ROPS cab with air conditioning, remote quick coupler, 75 kg (165 lb) operator and general purpose bucket (GP), without ride control, without precleaner unless otherwise noted.",,"Operating specifications shown are based on machine equipped with enclosed ROPS cab with air conditioning, remote quick coupler, 75 kg (165 lb) operator and general purpose bucket (GP), without ride control, without precleaner unless otherwise noted.",903D,113317,Operating Specifications - Standard Lift
Rated Operating Load At Full Turn - Bucket***,lb,2701,kg,1225.2,903D,113317,Operating Specifications - Standard Lift
Straight Tipping Load - Bucket***,lb,6415,kg,2909.8,903D,113317,Operating Specifications - Standard Lift
Full Turn Static Tipping Load - Bucket (Iso 14397-1*)***,lb,5401,kg,2449.9,903D,113317,Operating Specifications - Standard Lift
Full Turn Static Tipping Load - Bucket (Rigid Tire**)***,lb,5512,kg,2500.3,903D,113317,Operating Specifications - Standard Lift
"Rated Operating Load At Full Turn - Forks (En 474-3:2006, Firm And Level Ground, 500 Mm [20 In] Load Center) (80% Ftstl)***",lb,3902,kg,1770,903D,113317,Operating Specifications - Standard Lift
"Rated Operating Load At Full Turn - Forks (En 474-3:2006, Rough Terrain, 500 Mm [20 In] Load Center) (60% Ftstl)***",lb,2932,kg,1330,903D,113317,Operating Specifications - Standard Lift
Note,,Based on ISO 7546:1983 and rated operating loads at full turn and standard linkage.,,Based on ISO 7546:1983 and rated operating loads at full turn and standard linkage.,903D,113317,Maximum Material Densities - General Purpose
Bucket Type,,General Purpose,,General Purpose,903D,113317,Maximum Material Densities - General Purpose
Rated Capacity,yd3,0.8,m3,0.7,903D,113317,Maximum Material Densities - General Purpose
Dump Height,in,90,mm,2286,903D,113317,Maximum Material Densities - General Purpose
Maximum Material Density,,3169 lb/yd,,3169 lb/yd,903D,113317,Maximum Material Densities - General Purpose
Bucket Width,in,70,mm,1778,903D,113317,Maximum Material Densities - General Purpose
Note,,Based on ISO 7546:1983 and rated operating loads at full turn and standard linkage.,,Based on ISO 7546:1983 and rated operating loads at full turn and standard linkage.,903D,113317,Maximum Material Densities - Light Material
Bucket Type,,Light Material,,Light Material,903D,113317,Maximum Material Densities - Light Material
Rated Capacity,yd3,1.3,m3,1,903D,113317,Maximum Material Densities - Light Material
Dump Height,in,85,mm,2159,903D,113317,Maximum Material Densities - Light Material
Maximum Material Density,,1989 lb/yd,,1989 lb/yd,903D,113317,Maximum Material Densities - Light Material
Bucket Width,in,74,mm,1879.6,903D,113317,Maximum Material Densities - Light Material
Net Power,hp,97,kw,72.4,910M,113339,Engine
Displacement,cu in,268,L,4.4,910M,113339,Engine
Bore,in,4.2,mm,105,910M,113339,Engine
Stroke,in,5,mm,127,910M,113339,Engine
Emissions,,Engine meets U.S. EPA Tier 4 Final/EU Stage IV emission standards.,,Engine meets U.S. EPA Tier 4 Final/EU Stage IV emission standards.,910M,113339,Engine
Engine Model,,Cat C4.4 ACERT,,Cat C4.4 ACERT,910M,113339,Engine
Rated Net Power - Iso 9249,hp,97,kw,72.4,910M,113339,Engine
Note,,"Net power advertised is the power available at the flywheel plus front drive implement pump when the engine is equipped with fan, air cleaner, muffler and alternator.",,"Net power advertised is the power available at the flywheel plus front drive implement pump when the engine is equipped with fan, air cleaner, muffler and alternator.",910M,113339,Engine
Maximum Gross Power - Sae J1995,hp,102,kw,76.1,910M,113339,Engine
Maximum Gross Power - Iso 14396,hp,100,kw,74.6,910M,113339,Engine
Maximum Gross Power,hp,100,kw,74.6,910M,113339,Engine
Maximum Gross Power - Iso 14396 (Din),hp,101,kw,75.4,910M,113339,Engine
Maximum Gross Torque - Iso 14396,lb ft,332,Nm,450.2,910M,113339,Engine
Maximum Net Torque - Sae J1349,lb ft,325,Nm,440.7,910M,113339,Engine
Rated Net Power - Sae J1349,hp,96,kw,71.6,910M,113339,Engine
Rated Net Power - Iso 9249 (Din),hp,98,kw,73.1,910M,113339,Engine
Maximum Gross Torque - Sae J1995,lb ft,336,Nm,455.6,910M,113339,Engine
Maximum Net Torque - Iso 9249,lb ft,329,Nm,446.1,910M,113339,Engine
Maximum Gross Power - Maximum Engine Speed,rpm,2350,rpm,2350,910M,113339,Engine
Rated Net Power - Rated Engine Speed,rpm,2200,rpm,2200,910M,113339,Engine
Operating Weight,lb,17893,kg,8116.2,910M,113339,Operational
Note,,*Creeper Control allows speed control from a stand still up to 10 km/h (6.3 mph). The Creeper Control will only work in Range 1.,,*Creeper Control allows speed control from a stand still up to 10 km/h (6.3 mph). The Creeper Control will only work in Range 1.,910M,113339,Transmission
Maximum Working Pressure - Steering Pump,,2683 psi,,2683 psi,910M,113339,Steering
Steering Articulation Angle - Each Direction,,40  degrees,,40  degrees,910M,113339,Steering
Number Of Steering Wheel Turns - Full Left To Full Right Or Full Right To Full Left,,3.75 turns,,3.75 turns,910M,113339,Steering
Maximum Flow - Steering Pump,,17 gal/min,,17 gal/min,910M,113339,Steering
"Steering Cycle Times - Full Left To Full Right - At 2,350 Rpm: 90 Rpm Steering Wheel Speed",,3.2 s,,3.2 s,910M,113339,Steering
"Forward And Reverse - Low Range, Speed Range 1*",mph,6.3,km/h,10.2,910M,113339,Transmission
"Forward And Reverse - Low Range, Speed Range 2*",mph,12.5,km/h,20.2,910M,113339,Transmission
Forward And Reverse - High Range,mph,25,km/h,40.3,910M,113339,Transmission
Note (1),,Other tire choices are available. Contact your Cat dealer for details.,,Other tire choices are available. Contact your Cat dealer for details.,910M,113339,Tires
Note (2),,"In certain applications, the loader's productive capabilities may exceed the tire's tonnes-km/h (ton-mph) capabilities.",,"In certain applications, the loader's productive capabilities may exceed the tire's tonnes-km/h (ton-mph) capabilities.",910M,113339,Tires
Note (3),,Caterpillar recommends that you consult a tire supplier to evaluate all conditions before selecting a tire model.,,Caterpillar recommends that you consult a tire supplier to evaluate all conditions before selecting a tire model.,910M,113339,Tires
Standard Size,,15.5-25 12PR,,15.5-25 12PR,910M,113339,Tires
Other Choices Include,,"15.5-R25; 17.5-25 12PR; 17.5-25 12PR L2; 17.5-R25 XHA * L3; 17.5-R25 * L2/L3 PC RM; 17.5-25 16PR L3, 3PC Rim; 17.5-25 GY L2/L3; 17.5-25 12PR L2, SNOW; Flexport",,"15.5-R25; 17.5-25 12PR; 17.5-25 12PR L2; 17.5-R25 XHA * L3; 17.5-R25 * L2/L3 PC RM; 17.5-25 16PR L3, 3PC Rim; 17.5-25 GY L2/L3; 17.5-25 12PR L2, SNOW; Flexport",910M,113339,Tires
Bucket Capacities,,1.3 m3-1.9 m3 (1.7 yd3-2.5 yd3),,1.3 m3-1.9 m3 (1.7 yd3-2.5 yd3),910M,113339,Buckets
Front,,Fixed; Locking differential (standard),,Fixed; Locking differential (standard),910M,113339,Axles
Rear,,Oscillating 11 degrees; Locking differential (Standard),,Oscillating 11 degrees; Locking differential (Standard),910M,113339,Axles
Rated Bucket Capacity,yd3,2.5,m3,2,910M,113339,Operating Specifications
Cooling System,gal,5.7,L,21.6,910M,113339,Service Refill Capacities
Fuel Tank,gal,40.7,L,154.1,910M,113339,Service Refill Capacities
Hydraulic Tank,gal,14.5,L,54.9,910M,113339,Service Refill Capacities
Hydraulic System - Including Tank,gal,25.9,L,98.1,910M,113339,Service Refill Capacities
Engine Crankcase,gal,2.3,L,8.8,910M,113339,Service Refill Capacities
Transmission,gal,0.9,L,3.5,910M,113339,Service Refill Capacities
Note,,DEF used in Cat SCR systems must meet the requirements outlined in the International Organization for Standardization (ISO) standard 22241-1.,,DEF used in Cat SCR systems must meet the requirements outlined in the International Organization for Standardization (ISO) standard 22241-1.,910M,113339,Service Refill Capacities
Axles - Front Center Differential,gal,2,L,7.6,910M,113339,Service Refill Capacities
Axles - Rear Center Differential,gal,2,L,7.6,910M,113339,Service Refill Capacities
Diesel Exhaust Fluid (Def) Tank,gal,5,L,19,910M,113339,Service Refill Capacities
Rops,,ISO 3471:2008,,ISO 3471:2008,910M,113339,Cab
Fops,,ISO 3449:2005 Level II,,ISO 3449:2005 Level II,910M,113339,Cab
Note (1),,Cab and Rollover Protective Structures (ROPS) are standard in North America and Europe.,,Cab and Rollover Protective Structures (ROPS) are standard in North America and Europe.,910M,113339,Cab
Note (2),,"The declared dynamic operator sound pressure levels per ISO 6396:2008*, when properly installed and maintained, is 77 dB(A).",,"The declared dynamic operator sound pressure levels per ISO 6396:2008*, when properly installed and maintained, is 77 dB(A).",910M,113339,Cab
Note (3),,The labelled sound power level for the CE marked configurations when measured according to the test procedure and conditions specified in 2000/14/EC is 103 dB(A).,,The labelled sound power level for the CE marked configurations when measured according to the test procedure and conditions specified in 2000/14/EC is 103 dB(A).,910M,113339,Cab
Note (4),,*The measurements were conducted with the cab doors and windows closed.,,*The measurements were conducted with the cab doors and windows closed.,910M,113339,Cab
Maximum Flow - Implement Pump,,32 gal/min,,32 gal/min,910M,113339,Loader Hydraulic System
Maximum Working Pressure - Implement Pump,,3408 psi,,3408 psi,910M,113339,Loader Hydraulic System
"Maximum Flow - Implement Pump - 4th Function, Maximum Flow",,24 gal/min,,24 gal/min,910M,113339,Loader Hydraulic System
Relief Pressure - Tilt Cylinder,,4931 psi,,4931 psi,910M,113339,Loader Hydraulic System
Relief Pressure - Tilt Cylinder - 3rd Function Maximum Working Pressure,,3046 psi,,3046 psi,910M,113339,Loader Hydraulic System
Relief Pressure - Tilt Cylinder - 4th Function Maximum Working Pressure,,3046 psi,,3046 psi,910M,113339,Loader Hydraulic System
"Hydraulic Cycle Time - Raise, Ground Level To Maximum Lift",,5.2 s,,5.2 s,910M,113339,Loader Hydraulic System
"Hydraulic Cycle Time - Dump, At Maximum Reach",,1.4 s,,1.4 s,910M,113339,Loader Hydraulic System
Hydraulic Cycle Time - Rackback,,2.2 s,,2.2 s,910M,113339,Loader Hydraulic System
"Hydraulic Cycle Time - Float Down, Maximum Lift To Ground Level",,3.7 s,,3.7 s,910M,113339,Loader Hydraulic System
Hydraulic Cycle Time - Total Cycle Time,,12.5 s,,12.5 s,910M,113339,Loader Hydraulic System
"Maximum Flow - Implement Pump - 3rd Function, Maximum Flow",,24 gal/min,,24 gal/min,910M,113339,Loader Hydraulic System
Net Power,hp,40,kw,29.9,903C2,113340,Engine
Displacement,cu in,147,L,2.5,903C2,113340,Engine
Bore,in,3.4,mm,86.4,903C2,113340,Engine
Stroke,in,4,mm,101.6,903C2,113340,Engine
Engine Model,,Cat C2.4*,,Cat C2.4*,903C2,113340,Engine
Note,,*Engine meets U.S. EPA Tier 4 Final emission standards.,,*Engine meets U.S. EPA Tier 4 Final emission standards.,903C2,113340,Engine
Maximum Gross Power,hp,42,kw,31.4,903C2,113340,Engine
"Net Power - 2,200 Rpm - Sae J1349 Rating",hp,40,kw,29.9,903C2,113340,Engine
"Net Power - 2,200 Rpm - Iso 9249 Rating",hp,40,kw,29.9,903C2,113340,Engine
"Net Power - 2,200 Rpm - Eec 80/1269 Rating",hp,40,kw,29.9,903C2,113340,Engine
Operating Weight,lb,9060,kg,4109.6,903C2,113340,Operational
Travel Speed,mph,10,km/h,16.1,903C2,113340,Transmission
Bucket Capacities,,0.6-1.0 m3 (0.8-1.3 yd3),,0.6-1.0 m3 (0.8-1.3 yd3),903C2,113340,Buckets
Hydraulic Cycle Time - Dump,,0.8 s,,0.8 s,903C2,113340,Hydraulic System
Hydraulic Cycle Time - Lift,,4.8 s,,4.8 s,903C2,113340,Hydraulic System
Main Relief,,2988 psi,,2988 psi,903C2,113340,Hydraulic System
3rd Auxiliary Flow,,14 gal/min,,14 gal/min,903C2,113340,Hydraulic System
"Hydraulic Cycle Time - Lower, Float",,3.2 s,,3.2 s,903C2,113340,Hydraulic System
Cooling System,gal,3,L,11.4,903C2,113340,Service Refill Capacities
Fuel Tank,gal,11.4,L,43.2,903C2,113340,Service Refill Capacities
Hydraulic System,gal,6.3,L,23.9,903C2,113340,Service Refill Capacities
Engine Oil,gal,2.4,L,9.1,903C2,113340,Service Refill Capacities
Rops,,ISO 3471:2008,,ISO 3471:2008,903C2,113340,Cab
Fops,,ISO 3449:2000 Level I,,ISO 3449:2000 Level I,903C2,113340,Cab
Breakout Force,lb,5170,kg,2345.1,903C2,113340,Operating Specifications - High Lift
Tire Size,,"33  degrees 15.5-16.5, 12PR",,"33  degrees 15.5-16.5, 12PR",903C2,113340,Operating Specifications - High Lift
Rated Bucket Capacity,yd3,0.8,m3,0.7,903C2,113340,Operating Specifications - High Lift
Rack Back - Transport Position,,52 degrees,,52 degrees,903C2,113340,Operating Specifications - High Lift
Rated Operating Load At Full Turn - Bucket,lb,1875,kg,850.5,903C2,113340,Operating Specifications - High Lift
Straight Tipping Load - Bucket,lb,4500,kg,2041.2,903C2,113340,Operating Specifications - High Lift
Full Turn Static Tipping Load - Bucket,lb,3760,kg,1705.6,903C2,113340,Operating Specifications - High Lift
"Rated Operating Load At Full Turn - Forks (En 474-3:2006, Firm And Level Ground, 500 Mm [20 In] Load Center) (80% Of Ftstl)",lb,2410,kg,1093.2,903C2,113340,Operating Specifications - High Lift
"Rated Operating Load At Full Turn - Forks (En 474-3:2006, Firm And Level Ground, 500 Mm [20 In] Load Center) (60% Of Ftstl)",lb,1805,kg,818.8,903C2,113340,Operating Specifications - High Lift
With Additional Counterweight - Operating Weight,lb,9480,kg,4300.1,903C2,113340,Operating Specifications - High Lift
With Additional Counterweight - Rated Operating Load At Full Turn - Bucket,lb,2030,kg,920.8,903C2,113340,Operating Specifications - High Lift
With Additional Counterweight - Straight Tipping Load - Bucket,lb,4840,kg,2195.4,903C2,113340,Operating Specifications - High Lift
With Additional Counterweight - Full Turn Static Tipping Load - Bucket,lb,4060,kg,1841.6,903C2,113340,Operating Specifications - High Lift
With Additional Counterweight - Rackback - Transport Position,,52 degrees,,52 degrees,903C2,113340,Operating Specifications - High Lift
"With Additional Counterweight - Rated Operating Load At Full Turn - Forks (En 474-3:2006, Firm And Level Ground, 500 Mm (20 In) Load Center) (80% Of Ftstl)",lb,2590,kg,1174.9,903C2,113340,Operating Specifications - High Lift
"With Additional Counterweight - Rated Operating Load At Full Turn - Forks (En 474-3:2006, Rough Terrain, 500 Mm (20 In) Load Center) (60% Of Ftstl)",lb,1940,kg,880,903C2,113340,Operating Specifications - High Lift
Breakout Force,lb,5170,kg,2345.1,903C2,113340,Operating Specifications - Standard Lift
Rated Bucket Capacity,yd3,0.8,m3,0.7,903C2,113340,Operating Specifications - Standard Lift
Tire Size,,"33  degrees 15.5-16.5, 12PR",,"33  degrees 15.5-16.5, 12PR",903C2,113340,Operating Specifications - Standard Lift
Rack Back - Transport Position,,52 degrees,,52 degrees,903C2,113340,Operating Specifications - Standard Lift
Rated Operating Load At Full Turn - Bucket,lb,2150,kg,975.3,903C2,113340,Operating Specifications - Standard Lift
Straight Tipping Load - Bucket,lb,5070,kg,2299.8,903C2,113340,Operating Specifications - Standard Lift
Full Turn Static Tipping Load - Bucket,lb,4300,kg,1950.5,903C2,113340,Operating Specifications - Standard Lift
"Rated Operating Load At Full Turn - Forks (En 474-3:2006, Firm And Level Ground, 500 Mm [20 In] Load Center) (80% Of Ftstl)",lb,2610,kg,1183.9,903C2,113340,Operating Specifications - Standard Lift
"Rated Operating Load At Full Turn - Forks (En 474-3:2006, Firm And Level Ground, 500 Mm [20 In] Load Center) (60% Of Ftstl)",lb,1960,kg,889.1,903C2,113340,Operating Specifications - Standard Lift
With Additional Counterweight - Operating Weight,lb,9435,kg,4279.7,903C2,113340,Operating Specifications - Standard Lift
With Additional Counterweight - Rated Operating Load At Full Turn - Bucket,lb,2305,kg,1045.6,903C2,113340,Operating Specifications - Standard Lift
With Additional Counterweight - Straight Tipping Load - Bucket,lb,5445,kg,2469.9,903C2,113340,Operating Specifications - Standard Lift
With Additional Counterweight - Full Turn Static Tipping Load - Bucket,lb,4610,kg,2091.1,903C2,113340,Operating Specifications - Standard Lift
With Additional Counterweight - Rackback - Transport Position,,52 degrees,,52 degrees,903C2,113340,Operating Specifications - Standard Lift
"With Additional Counterweight - Rated Operating Load At Full Turn - Forks (En 474-3:2006, Firm And Level Ground, 500 Mm (20 In) Load Center) (80% Of Ftstl)",lb,2800,kg,1270.1,903C2,113340,Operating Specifications - Standard Lift
"With Additional Counterweight - Rated Operating Load At Full Turn - Forks (En 474-3:2006, Rough Terrain, 500 Mm (20 In) Load Center) (60% Of Ftstl)",lb,2105,kg,954.9,903C2,113340,Operating Specifications - Standard Lift
Note,,"Based on ISO 7546: 1983 and rated operating loads at full turn and standard linkage, without additional counterweight",,"Based on ISO 7546: 1983 and rated operating loads at full turn and standard linkage, without additional counterweight",903C2,113340,Maximum Material Densities - General Purpose
Bucket Type,,General Purpose,,General Purpose,903C2,113340,Maximum Material Densities - General Purpose
Rated Capacity,yd3,0.8,m3,0.7,903C2,113340,Maximum Material Densities - General Purpose
Dump Height,in,90,mm,2286,903C2,113340,Maximum Material Densities - General Purpose
Maximum Material Density,,2545 lb/yd,,2545 lb/yd,903C2,113340,Maximum Material Densities - General Purpose
Bucket Width,in,70,mm,1778,903C2,113340,Maximum Material Densities - General Purpose
Note,,"Based on ISO 7546: 1983 and rated operating loads at full turn and standard linkage, without additional counterweight",,"Based on ISO 7546: 1983 and rated operating loads at full turn and standard linkage, without additional counterweight",903C2,113340,Maximum Material Densities - Light Material
Bucket Type,,Light Material,,Light Material,903C2,113340,Maximum Material Densities - Light Material
Rated Capacity,yd3,1.3,m3,1,903C2,113340,Maximum Material Densities - Light Material
Dump Height,in,85,mm,2159,903C2,113340,Maximum Material Densities - Light Material
Maximum Material Density,,1480 lb/yd,,1480 lb/yd,903C2,113340,Maximum Material Densities - Light Material
Bucket Width,in,74,mm,1879.6,903C2,113340,Maximum Material Densities - Light Material
Net Power,hp,69,kw,51.5,908H2,113341,Engine
Displacement,cu in,203,L,3.4,908H2,113341,Engine
Bore,in,3.7,mm,94,908H2,113341,Engine
Stroke,in,4.7,mm,119.4,908H2,113341,Engine
Maximum Gross Power - Sae J1995,hp,74,kw,55.2,908H2,113341,Engine
Maximum Net Power - Sae J1349,hp,68,kw,50.8,908H2,113341,Engine
Maximum Gross Power - Iso 14396,hp,73,kw,54.5,908H2,113341,Engine
"Rated Net Power - 2,500 Rpm - Sae J1349",hp,68,kw,50.8,908H2,113341,Engine
Maximum Net Power - Iso 9249,hp,69,kw,51.5,908H2,113341,Engine
"Gross Power - 2,500 Rpm - Sae J1995",hp,74,kw,55.2,908H2,113341,Engine
"Net Power - 2,500 Rpm - Sae J1349",hp,68,kw,50.8,908H2,113341,Engine
Operating Weight,lb,14253,kg,6465.1,908H2,113341,Operational
Travel Speed 1,mph,4.3,km/h,7,908H2,113341,Transmission
Travel Speed 2,mph,12.4,km/h,20,908H2,113341,Transmission
High Speed,mph,21.7,km/h,35,908H2,113341,Transmission
Bucket Capacities,,0.9-1.5 m3 (1.2-2.0 yd3),,0.9-1.5 m3 (1.2-2.0 yd3),908H2,113341,Buckets
Hydraulic Cycle Time - Dump,,2 Seconds,,2 Seconds,908H2,113341,Hydraulic System
Hydraulic Cycle Time - Lift,,5 Seconds,,5 Seconds,908H2,113341,Hydraulic System
Hydraulic Cycle Time - Rackback,,2.5 Seconds,,2.5 Seconds,908H2,113341,Hydraulic System
Main Relief,,3400 psi,,3400 psi,908H2,113341,Hydraulic System
"Hydraulic Cycle Time - Lower, Float",,4 Seconds,,4 Seconds,908H2,113341,Hydraulic System
3rd Auxiliary Flow - Standard Flow,,22 gal/min,,22 gal/min,908H2,113341,Hydraulic System
3rd Auxiliary Flow - High Flow,,33 gal/min,,33 gal/min,908H2,113341,Hydraulic System
Breakout Force,lb,10566,kg,4792.7,908H2,113341,Operating Specifications
Rated Bucket Capacity,yd3,1.4,m3,1.1,908H2,113341,Operating Specifications
Tire Size,,405/70 R20,,405/70 R20,908H2,113341,Operating Specifications
Full Turn Static Tipping Load - Bucket,lb,7518,kg,3410.2,908H2,113341,Operating Specifications
Rack Back - Transport Position,degrees,52,degrees,52,908H2,113341,Operating Specifications
Rated Operating Load At Full Turn - Bucket,lb,3759,kg,1705.1,908H2,113341,Operating Specifications
Hydraulic Lift Capacity,lb,7868,kg,3568.9,908H2,113341,Operating Specifications
Straight Tipping Load - Bucket,lb,10527,kg,4775,908H2,113341,Operating Specifications
"Rated Operating Load At Full Turn - Forks (En 474-3:2006, Firm And Level Ground, 500 Mm (20 In) Load Center, Transport 100 Mm (4 In) Above Ground)",lb,6592,kg,2990.1,908H2,113341,Operating Specifications
"Rated Operating Load At Full Turn - Forks (En 474-3:2006, Firm And Level Ground, 1.25 Stability And 500 Mm [20 In] Load Center)",lb,5192,kg,2355.1,908H2,113341,Operating Specifications
"Rated Operating Load At Full Turn - Forks (Sae J1197, Load Center At Tine Mid-Point, 1120 Mm [44 In] Tines) (50% Ftstl)",lb,3045,kg,1381.2,908H2,113341,Operating Specifications
"Rated Operating Load At Full Turn - Forks (Sae J1197, Load Center At Tine Mid-Point, 1220 Mm [48 In] Tines) (50% Ftstl)",lb,2919,kg,1324.1,908H2,113341,Operating Specifications
"Rated Operating Load Straight Back - Forks (Sae J1197, Load Center At Tine Mid-Point, 1120 Mm [44 In] Tines) (50% Ftstl)",lb,3907,kg,1772.2,908H2,113341,Operating Specifications
"Rated Operating Load Straight Back - Forks (Sae J1197, Load Center At Tine Mid-Point, 1220 Mm [48 In] Tines) (50% Ftstl)",lb,3822,kg,1733.7,908H2,113341,Operating Specifications
"Rated Operating Load At Full Turn - Forks (En 474-3:2006, Firm And Level Ground, 500 Mm [20 In] Load Center) (80% Of Ftstl)",lb,5192,kg,2355.1,908H2,113341,Operating Specifications
"Rated Operating Load At Full Turn - Forks (En 474-3:2006, Firm And Level Ground, 500 Mm [20 In] Load Center) (60% Of Ftstl)",lb,3893,kg,1765.9,908H2,113341,Operating Specifications
Cooling System,gal,6.3,L,23.9,908H2,113341,Service Refill Capacities
Fuel Tank,gal,20.6,L,78,908H2,113341,Service Refill Capacities
Hydraulic System,gal,25,L,94.7,908H2,113341,Service Refill Capacities
Engine Oil,gal,2.6,L,9.9,908H2,113341,Service Refill Capacities
Rops,,"SAE J1040 MAY94, ISO 3471-1994",,"SAE J1040 MAY94, ISO 3471-1994",908H2,113341,Cab
Fops,,"SAE J/ISO 3449 APR98 Level II, ISO 3449 1992 Level II",,"SAE J/ISO 3449 APR98 Level II, ISO 3449 1992 Level II",908H2,113341,Cab
Rated Capacity,yd3,1.4,m3,1.1,908H2,113341,Maximum Material Densities - General Purpose
Dump Height,in,100,mm,2540,908H2,113341,Maximum Material Densities - General Purpose
Maximum Material Density,,2611 lb/yd,,2611 lb/yd,908H2,113341,Maximum Material Densities - General Purpose
Bucket Width,in,81,mm,2057.4,908H2,113341,Maximum Material Densities - General Purpose
Rated Capacity,yd3,2,m3,1.6,908H2,113341,Maximum Material Densities - Light Material
Dump Height,in,92,mm,2336.8,908H2,113341,Maximum Material Densities - Light Material
Maximum Material Density,,1743 lb/yd,,1743 lb/yd,908H2,113341,Maximum Material Densities - Light Material
Bucket Width,in,82,mm,2082.8,908H2,113341,Maximum Material Densities - Light Material
Rated Capacity,yd3,1.2,m3,1,908H2,113341,Maximum Material Densities - Multi Purpose
Dump Height,in,104,mm,2641.6,908H2,113341,Maximum Material Densities - Multi Purpose
Maximum Material Density,,3251 lb/yd,,3251 lb/yd,908H2,113341,Maximum Material Densities - Multi Purpose
Bucket Width,in,81,mm,2057.4,908H2,113341,Maximum Material Densities - Multi Purpose
Fixed Steering Column,,Standard,,Standard,908H2,113341,Operator Environment Features - Canopy
Vinyl Suspension Seat,,Standard,,Standard,908H2,113341,Operator Environment Features - Canopy
Coat Hook,,Standard,,Standard,908H2,113341,Operator Environment Features - Canopy
Sun Visor,,Standard,,Standard,908H2,113341,Operator Environment Features - Canopy
External Mirrors (2) - Knock Back,,Standard,,Standard,908H2,113341,Operator Environment Features - Canopy
Lockable Storage Box,,Standard,,Standard,908H2,113341,Operator Environment Features - Canopy
Adjustable Internal Mirror,,Standard,,Standard,908H2,113341,Operator Environment Features - Canopy
Two Access Doors,,Standard,,Standard,908H2,113341,Operator Environment Features - Comfort Cab
Adjustable Steering Column,,Standard,,Standard,908H2,113341,Operator Environment Features - Comfort Cab
"Cloth Suspension Seat, Arm Rest",,Standard,,Standard,908H2,113341,Operator Environment Features - Comfort Cab
Left Window - Sliding,,Standard,,Standard,908H2,113341,Operator Environment Features - Comfort Cab
Heated Rear Window,,Standard,,Standard,908H2,113341,Operator Environment Features - Comfort Cab
Coat Hook,,Standard,,Standard,908H2,113341,Operator Environment Features - Comfort Cab
Cabin Light,,Standard,,Standard,908H2,113341,Operator Environment Features - Comfort Cab
Sun Visor,,Standard,,Standard,908H2,113341,Operator Environment Features - Comfort Cab
"Radio-Ready Kit (Wiring, Speaker, Antenna And Grilles)",,Standard,,Standard,908H2,113341,Operator Environment Features - Comfort Cab
External Mirrors (2) - Knock Back,,Standard,,Standard,908H2,113341,Operator Environment Features - Comfort Cab
Heater,,Standard,,Standard,908H2,113341,Operator Environment Features - Comfort Cab
Lockable Storage Box,,Standard,,Standard,908H2,113341,Operator Environment Features - Comfort Cab
Adjustable Internal Mirror,,Standard,,Standard,908H2,113341,Operator Environment Features - Comfort Cab
Rear Blind,,Optional,,Optional,908H2,113341,Operator Environment Features - Comfort Cab
Cat Radio/Cd/Mp3/Wma Player,,Optional,,Optional,908H2,113341,Operator Environment Features - Comfort Cab
Two Access Doors,,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
Heated Rear Window,,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
Coat Hook,,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
Cabin Light,,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
Adjustable Steering Column,,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
"Cloth Electric Air Suspension Seat, Arm/Head Rest, Lumbar Support, Heated Back Seat",,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
Left Window - Sliding,,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
Right Window - Sliding,,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
Air Conditioning,,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
Rear Blind,,Optional,,Optional,908H2,113341,Operator Environment Features - Deluxe Cab
Cat Radio/Cd/Mp3/Wma Player,,Optional,,Optional,908H2,113341,Operator Environment Features - Deluxe Cab
Sun Visor,,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
"Radio-Ready Kit (Wiring, Speaker, Antenna And Grilles)",,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
External Mirrors (2) - Knock Back,,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
Heater,,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
Lockable Storage Box,,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
Adjustable Internal Mirror,,Standard,,Standard,908H2,113341,Operator Environment Features - Deluxe Cab
Net Power,hp,113,kw,84.3,918M,113343,Engine
Displacement,cu in,268,L,4.4,918M,113343,Engine
Bore,in,4.2,mm,105,918M,113343,Engine
Stroke,in,5,mm,127,918M,113343,Engine
Emissions,,Engine meets U.S. EPA Tier 4 Final/EU Stage IV emission standards.,,Engine meets U.S. EPA Tier 4 Final/EU Stage IV emission standards.,918M,113343,Engine
Engine Model,,Cat C4.4 ACERT,,Cat C4.4 ACERT,918M,113343,Engine
Rated Net Power - Iso 9249,hp,113,kw,84.3,918M,113343,Engine
